						Accept Condition							Refuse Condition							Soften Condition	Harden Condition
115	Financement systématique des jeunes entreprises	Liberals	Permet un boom économique au prix de très lourdes dépenses publiques.	2	114	116	-13	-2	20	8	0	2000	-1	16	-5	-20	-10	0	20000	282	449
116	Subvention à l'envie de créer une entreprise	Liberals	Un plan de relance à lui seul au prix de dépenses publiques démentielles.	3	115	-1	-23	5	25	8	0	3000	-1	16	-5	-25	-10	0	10000	283	450
117	Suppression de la Sécurité Sociale	Liberals	Suppression des cotisations publiques de la sécurité sociale par un système de mutuelles.	0	-1	-1	17	-17	20	-10	0	50000	-1	-30	30	-20	10	13	0	284	451
118	Limitation des allocations familiales	Liberals	Appauvrit les familles nombreuses mais soulage le budget de l'état. Les enfants n'auront qu'à distribuer des journaux.	0	-1	119	8	-10	-10	0	-3	20000	-1	7	13	5	0	-5	0	285	452
119	Suppression des allocations familiales	Liberals	Appauvrit grandement les familles nombreuses mais soulage le budget de l'état. Les enfants n'auront qu'à faire le trottoir.	1	118	-1	13	-16	-15	0	-8	25000	-1	7	12	5	0	-5	1000	286	453
120	Universalité des allocations familiales	Religious	Favorise les familles bourgeoises, qui n'ont pas vraiment besoin de ces allocations. Augmente le niveau de vie des classes moyennes au prix de dépenses raisonanables.	0	-1	121	-3	5	5	0	3	2000	-1	8	-5	5	0	-8	5000	287	454
121	Revalorisations des allocations familiales pour les familles nombreuses	Religious	Favorise des familles correspondant principalement au cadre traditionnel. Augmente nettement les dépenses de l'État.	1	120	122	-8	10	10	0	8	3000	-1	8	-10	5	0	-13	5000	288	455
122	Allocations religieuses versées au Baptême, puis à la confirmation	Religious	Récompense le bon usage des allocations familliales, augmente les dépenses fortement.	2	121	-1	-11	5	15	0	17	4000	-1	8	-5	0	0	-12	3000	289	456
123	Financement des associations d'anciens combattants	Militarist	Populaire auprès des patriotes, cette mesure aura un impact limité mais certain sur leur pouvoir d'achat.	0	-1	124	-3	5	5	0	0	2000	-1	3	-5	-5	0	-5	4000	290	457
124	Revenu de solidarité pour les anciens combattants	Militarist	Populaire auprès des patriotes, cette mesure aura un impact certain sur leur pouvoir d'achat.	1	123	125	-8	5	5	-5	0	2000	-1	7	-5	-5	5	-5	4000	291	458
125	Gratuité du coût de la vie pour les anciens combattants	Militarist	Populaire auprès des patriotes, cette mesure aura un impact important sur leur pouvoir d'achat.	2	124	-1	-11	5	5	-10	0	2000	-1	8	-5	-5	10	-13	8000	292	459
126	Remédier aux déserts médicaux	Socialist	Ravira la population rurale au prix de lourd investissements. Mais la santé de nos concitoyen ne peut être sacrifiée sur l'hôtel de la rentabilité.	0	-1	-1	-8	15	10	8	0	2000	-1	7	-15	-10	-15	5	8000	293	460
127	Limitation des aides à la création d'entreprise	Socialist	Délègue l'investissement une partie de l'investissement aux acteurs économiques privés : mauvais pour l'économie mais bon pour nos dépenses !	0	-1	128	8	-5	-10	-5	0	2000	-1	-7	0	10	5	0	10000	294	461
128	Suppression des aides à la création d'entreprise	Socialist	Délègue l'investissement sur notre économie aux Business Angels, puissent-ils agir dans notre intérêt !	1	127	-1	11	-5	-20	-10	0	4000	-1	-8	0	20	10	0	0	295	462
129	Création de prisons privées	Socialist	Création de plus de prisons pour diminuer l'engorgement carcéral. Celles-ci seront privées et l'organisation sera laissé à la discrétion du propriétaire.	0	-1	130	3	-5	5	-5	0	15000	-1	-3	5	-5	5	0	0	296	463
130	Privatisation des prisons publiques lourdement endettées	Socialist	Les prisons infonctionnelles doivent être remise en état et le gouvernement ne peut se permettre cette dépense. Avec la vente de ces prisons, de nombreux chantiers pourront être accomplis.	1	129	131	8	-6	10	-10	0	15000	-1	-7	5	-10	7	0	0	297	464
131	Privatisation des prisons publiques	Socialist	Les prisons publiques ne sont plus efficaces en comparaison des nouvelles. Le gouvernement propose donc de les privatiser elles aussi pour maximiser leur efficacité.	2	130	132	11	-7	15	-15	-3	15000	-1	-8	10	-15	12	0	0	298	465
132	Privatisation des tribunaux	Socialist	La majorité du système pénal, carcéral et judiciaire est déjà délégué de l'état. Finalisons le procédé en englobant le reste.	3	131	-1	13	-16	20	-20	-8	15000	-1	-16	25	-20	17	0	0	299	466
133	Légalisation du Cannabis pour un usage médical	Socialist	Le canabis a été prouvé pouvant être utilisable comme médicament sans nuire à la santé du consommateur. Pour rester dans l'air du temps et exploiter ce filon, le gouvernement propose sa légalisation a but médicinal dans un premier temps.	0	-1	134	0	5	5	6	-3	5000	-1	7	-10	-5	5	5	0	300	467
134	Légalisation du Cannabis pour un usage récréatif	Socialist	Le canabis médicinal ayant prouvé créer beaucoup d'emplois et de revenus en taxes, l'état propose de l'autoriser également a usage récréatif.	1	133	135	0	10	10	6	-8	5000	-1	7	-15	-5	5	5	0	301	468
135	Légalisation des drogues dures pour un usage récréatif	Socialist	Les drogues douces sont controllées et encadrées. Le gouvernement propose d'étendre la loi précédente aux drogues dures, de façon a enfin pouvoir consommer légalement.	2	134	136	0	15	-15	0	-12	20000	-1	8	-5	-10	-5	5	0	302	469
136	Légalisation de l'alcool au travail	Socialist	L'alcool au volant, ca a jamais tué personne. Et puis c'est bon... hips. Il faudrait le légaliser, car marre de prendre des amendes en conduisant.	1	134	137	-3	17	-20	-5	-20	13000	-1	8	-5	-10	-5	13	0	303	470
137	Légalisation des drogues au volant	Socialist	Pis maintenant qu'on peut boire et conduire, plus besoin de choisir. Alors pourquoi devoir choisir entre boire et se piquer? Le gouvernement, et surtout moi, propose de légaliser tout ca.	2	134	-1	-3	25	-25	-5	-17	5000	-1	8	-5	-10	-5	13	0	304	471
138	Augmentation des effectifs pour le traitement des demandes d'asile	Socialist	Les migrants venant dans notre beau pays ne sont pas encadrés. Les récentes déclarations de notre président nous obligent à en accepter de plus en plus. Augmenter la vitesse des demandes d'asiles permettra d'accéler le processus complet.	0	-1	-1	-3	-5	5	0	0	2000	-1	3	5	0	0	0	8000	305	472
139	Permis de séjour facilité	Socialist	Les expatriés et réfugiés sur notre sol ont du mal a pouvoir voir leur famille. Diminuer le nécessaire pour les permis de séjour permettrait de réunir plus de familles.	0	138	140	-8	-3	10	-5	0	2000	-1	7	10	5	0	0	8000	306	473
140	Naturalisation facilité	Socialist	L'intégration des étrangers s'est faite sans réel soucis. Le gouvernement propose de naturaliser ces gens travailleurs et motivés de façon à faire grimper les sondages et baisser le chômage.	1	139	141	-11	-7	12	-5	0	2000	-1	8	13	5	0	0	8000	307	474
141	Naturalisation à vie dès l'entrée	Socialist	Quiconque entrera sur le territoire se fera offrir immédiatement et contre avance la naturalisation. S'ils refusent, ils seront reconduis à la frontière le temps qu'ils réfléchissent de la chance qu'ils ont.	2	140	-1	-13	-12	12	-5	0	2000	-1	16	17	5	0	0	8000	308	475
142	Reconnaissance officielle de la culture judéo-chrétienne de la France comme culture nationale	Religious	La France a depuis longtemps des racines communes avec la culture judéo-chrétienne. Ses marques sont présentes dans chaque ville et village et le gouvernement estime qu'il est nécessaire de sauvegarder cette culture.	0	-1	143	0	-5	0	0	3	5000	-1	0	5	0	0	-15	3000	309	476
143	Reconnaissance officielle de la culture catholique de la France comme culture nationale	Religious	Le catholiscime a été a la base de notre pays depuis plus de mille ans. Il est important d'intégrer toutes les reliques de notre passé en tant que patrimoine officiel pour le préserver.	1	142	144	0	-9	0	0	8	5000	-1	0	10	0	0	-12	3000	310	477
144	Reconnaissance officielle de la religion catholique comme religion d'état	Religious	Jésus est mort pour nos péchés. C'est un fait. La laïcité n'a mené nul part et le pays ne s'est jamais aussi bien porté que lorsqu'il avait une religion pour tous. Remettons ca.	2	143	145	0	-8	0	0	20	20000	-1	-3	10	0	0	-15	0	311	478
145	Interdiction des religions non officielles	Religious	L'état et la religion sont de nouveaux liés. Pourtant, certains s'opposent encore à la religion d'état. Pour ce faire, les autres religions sont désormais prohibés et passibles de sanctions.	3	144	146	0	-7	0	0	19	40000	-1	-3	15	0	0	-17	0	312	479
146	Inquisition	Religious	Malgré le décret précédent, de nombreuses religions sont encore pratiquées sans crainte de représailles. La création d'un nouveau système de police inquisteur permettra de débusquer et enfin chatier les infidèles.	4	145	-1	-8	-15	0	5	20	100000	-1	-3	20	0	0	-17	0	313	480
147	Interdiction de l'IVG	Religious	"Tu ne tueras point" y compris les enfants dans les ventres des femmes. Bien que les français aiment cet "liberté", les fidèles seront soulagés par cette réforme.	0	-1	148	0	-7	0	-5	8	30000	-1	-3	3	5	0	-13	0	314	481
148	Interdiction du mariage homosexuel	Religious	L'insitution du mariage ayant pour but de fonder une famille, et les couples homosexuels ne pouvant procréer : c'est un non-sens de leur autoriser le mariage. La population désappouvre cette mesure, mais les croyants l'approuveront massivement.	1	147	149	0	-7	0	-5	20	30000	-1	-7	3	5	0	-13	0	315	482
149	Interdiction de l'homosexualité	Religious	L'homosexualité étant contre nature, il est inconcevable de la laisser perdurer plus longtemps. Tous les homosexuels devront donc être soignés, malgré une opposition tranchée des infidèles.	2	148	150	0	-12	0	-5	20	40000	-1	-12	3	5	0	-12	0	316	483
150	Baptême catholique obligatoire	Religious	Nul ne pouvant entrer au Royaume de Dieu s'il n'a été baptisé, il est de notre devoir d'assurer le salut de tous. Les athées seront couroucés d'être contraint à cette pratique, mais elle ne peut que leur être bénéfique.	3	149	-1	0	-15	0	0	19	100000	-1	-8	3	5	0	-17	0	317	484
151	Déchéance de nationalité pour les binationaux pour les crimes contre la nation	Militarist	Il est impensable que des criminels français et d'autres nations puissent être français après avoir attaqué notre gouvernement et ce qu'il représente. Pour ce faire, chaque criminel sera retiré la double nationalité.	0	-1	152	0	5	0	-5	0	5000	-1	-8	5	0	0	0	0	318	485
152	Déchéance de nationalité systématique pour les crimes contre la nation	Militarist	Les criminels fançais ne peuvent souiller notre beau pays de leurs actes infâmes et repartir libre vivre une vie normale. A partir de ce décret, eux aussi sont considérés comme déchus de leur droit d'être français.	1	151	153	0	10	0	-5	0	5000	-1	-3	5	0	0	0	0	319	486
153	Déchéance de nationalité systématique pour les crimes graves	Militarist	La loi précédente pour les crimes contre la nation a fonctionné extremement bien. Pourtant, beaucoup d'immigrés ne se sentent pas impliqués et continuer à criminaliser nos campagnes. Les criminels graves et récidivistes seront maintenant déchus également.	1	152	154	0	5	0	-5	0	5000	-1	-3	5	0	0	0	0	320	487
154	Déchéance de nationalité sur ordonnance du Président	Militarist	Le Président estime qu'il est inconcevable que certains criminels viennent dans notre pays, deviennent français puis nous trahissent tout en restant français. Le Président demande le droit de pouvoir retirer la nationalité française sur ordre.	2	153	155	0	5	0	-5	0	5000	-1	-3	10	0	0	0	0	321	488
155	Déchéance de nationalité pour les délits mineurs	Militarist	Les criminels ne peuvent plus souiller notre beau pays. A partir de ce décret, chaque crime, chaque délit, même mineur sera puni de la peine capitale reinstaurée précédement : l'exil.	3	154	-1	0	-15	0	-5	0	50000	-1	-3	10	0	0	0	0	322	489
156	Sortie des accords de Schengen	Militarist	Les patriotes craignent une immigration massive due à une "perte de contrôle des frontières". Une telle mesure pourrait pour un gain économique intérieur faible nous exposer à de lourdes pertes extérieures.	0	-1	-1	0	5	0	-5	0	4000	-1	3	-3	10	5	0	5000	323	490
157	Test de citoyenneté	Militarist	Les patriotes estiment qu'il est nécessaire de vérifier le niveau de connaissance en culture française des immigrés.	1	156	158	0	10	0	-5	0	4000	-1	3	-3	10	5	0	5000	324	491
158	Quotas d'immigration	Militarist	Les patriotes estiment que l'ont doit sauver les emplois des français en limitant l'immigration légale. Une telle mesure pourrait pour un gain économique intérieur faible nous exposer à de lourdes pertes extérieures.	1	157	159	-3	15	-5	-5	0	4000	-1	7	-3	10	5	5	5000	325	492
159	Fermeture totale des frontières	Militarist	Les patriotes estiment que l'ont doit sauver les emplois des français en fermant les frontières le temps qu'il faudra, peut-être toujours. Une telle mesure pourrait pour un gain économique intérieur faible nous exposer à de lourdes pertes extérieures.	2	158	-1	-8	17	-35	-10	0	4000	-1	7	-3	10	5	8	5000	326	493
160	Légalisation limitée de l'euthanasie	Liberals	Certains militants estiment que les patients souffrant de maladies non curables devraient sous certaines conditions pouvoir être assisté médicalement pour pouvoir partir dignement. La population semble approuver, à l'exception des religieux.	0	-1	161	0	15	-5	0	-8	1000	-1	0	-5	0	0	8	5000	327	494
161	Légalisation de l'euthanasie	Liberals	Certains militants estiment que la législation actuelle est trop restrictive quant à l'autorisation d'euthanasie, ceux-ci proposent de la simplifier à un accord oral entre le médecin et le patient. La population semble approuver, à l'exception des religieux.	1	160	162	0	10	-5	0	-20	1000	-1	3	-10	0	0	8	5000	328	495
162	Droit au suicide	Liberals	Certains militants estiment qu'il n'y a aucun sens à interdire légalement le suicide. La population semble approuver, à l'exception des religieux.	2	161	-1	0	15	-10	3	-20	1000	-1	7	-10	0	0	13	5000	329	496
163	Augmentation des subventions à la culture	Liberals	L'agriculture, c'est important. La culture aussi. Pour cela, le gouvernement propose d'augmenter le budget dédié au patrimoine et a sa sauvegarde	0	-1	164	-3	5	0	5	0	2000	-1	0	-5	5	0	0	4000	330	497
164	Musées nationaux gratuits pour tous	Liberals	La gratuité des musées permet à nos concitoyens les plus modestes (et les plus radins) d'accéder à la culture, c'est donc un moyen efficace de leur donner satisfaction.	1	163	165	-8	10	0	5	0	2000	-1	-3	-10	5	0	0	4000	331	498
165	Gratuité complète des bibliothèques municipales	Liberals	La gratuité des bibliothèque permet à nos concitoyens les plus modestes (et les plus radins) de s'enrichir culturellement et d'acquerir de nouvelles compétences par eux même, c'est donc un moyen efficace de leur donner satisfaction.	2	164	166	-11	15	0	5	0	2000	-1	0	-10	5	0	0	4000	332	499
166	Crédits culture pour tous les citoyens	Liberals	La mise à disposition d'un crédit culture à dépenser sur les plate-formes culturelles est un bon moyen de pousser nos concitoyen à consommer, c'est donc un moyen efficace de leur donner satisfaction.	3	165	-1	-13	17	10	5	0	2000	-1	7	-20	-5	0	0	4000	333	500
167	Augmentation de la durée du travail à 39h	Liberals	Ajout de 4 heures au temps de travail minimum d'un contrat standard, les heures ajoutées n'entrainent bien évidemment aucune hausse de salaire pour le salarié. Peu populaire, une telle réforme devrait néanmoins relancer l'économie.	0		1	0	0	3	-4	0	1000	-1	0	3	-4	-2	0	0	-1	-1
168	Suppression de la durée légale du travail	Liberals	En supprimant la durée légale du travail, les employeurs pourront donc moduler selon les besoins du marché le travail de leurs employés. Les mauvaises langues diront qu'une telle dérégulation est dangereuse pour les conditions salariales, mais qui oserait douter que les employeurs pourraient penser à mal ?	1		2	0	-4	6	-4	0	1000	-1	0	4	-4	-3	0	0	-1	-1
169	Suppression du code du travail	Liberals	Suppression de tous les articles du code du travail, sauf les mentions sur l'obligation de résultat des employés. Pour tout vote "Oui" : un bisou de Pierre Gataz.	2		3	0	-6	5	-4	0	1000	-1	-5	4	-4	-4	0	0	-1	-1
170	Interdiction des pauses	Liberals	Suppression des pauses lors de la journée de travail : pauses intermédiaires, pauses repas, absence d'attention, ... Certains syndicalistes revanchards risquent de se plaindre, mais leur absence de reconnaissance ne saurait égaler les bénéfices économiques d'une telle mesure.	3		4	0	-7	10	-4	0	1600	-1	-5	6	-4	-5	0	0	-1	-1
171	Autorisation de l’enfermement en cages des employés 	Liberals	Pour maximiser la productivité du pays, l'enfermement en cage des esclaves ... EMPLOYÉS ! est une solution idéale. Les ONG œuvrant pour les droits de l'Homme risquent de venir en aide au syndicalistes, mais qui s'en inquiète ?	4		-1	0	-9	9	-8	0	2400	-1	-5	6	-4	-6	0	0	-1	-1
172	Contrôle strict des allocations chômage	Liberals	Certains de nos concitoyens profitent du laxisme du système pour détourner les aides dédiées aux chômeurs et non aux profiteurs ! Il y a bien sûr des risques de mettre en difficultés d'honnêtes citoyens avec un tel dispositif, mais les gains pour le budget public sauront se faire sentir.	0		6	6	0	0	1	0	1000	-1	0	2	-4	2	0	0	-1	-1
173	Limitation de la durée des allocations chômage	Liberals	Un citoyen qui ne trouve pas d'emploi dans un pays si bien géré ne peut être autre chose qu'un profiteur ... Limitons donc les allocations chômages dans le temps pour pousser les profiteurs à rechercher un emploi ... ou tout au moins à diminuer les dépenses publics !	1		7	6	-3	0	3	0	2400	-1	0	3	-4	2	0	0	-1	-1
174	Suppression des allocations chômage	Liberals	Les chômeurs sont coupables de ne pas trouver d'emplois par eux-même : ils n'avaient pour commencer pas à perdre le leur ! Très impopulaire, une telle mesure devrait néanmoins diminuer le chômage et grandement baisser les chiffres du chômage.	2		8	8	-3	0	5	0	3200	-1	-5	4	-4	2	0	0	-1	-1
175	Impôt sur le chômage (taxe sur la non productivité)	Liberals	Malgré toutes nos mesures, certains osent encore rester dans l'oisiveté. Très impopulaire, une telle mesure devrait cependant être assez bonne pour les chiffres.	3		9	8	-6	3	3	0	3200	-1	-5	4	-4	2	0	0	-1	-1
176	Emploi imposé par l'Etat	Liberals	Certains emplois restent malgré tous nos efforts non pourvu ... Si les chômeurs ne veulent pas travailler quand on leur demande gentillement, alors c'est la police qui les amenera à l'usine !	4		-1	8	-9	2	6	0	4000	-1	-5	6	-4	2	0	0	-1	-1
177	Privatisation des entreprises d'État	Liberals	Pourquoi diable l'Etat devrait-il employer des fonctionnaires dans des entreprises déficitaires, alors que le libre marché pourrait nous soulager de cette peine, non sans nous avoir donné un pécule non négligeable. Plutôt impopulaire, une telle mesure devrait néanmoins offrir une respiration dans le budget de l'État.	0		11	6	-4	7	-4	0	4800	-1	0	2	-4	3	0	4000	-1	-1
178	Plan de réduction de 100 000 fonctionnaires	Liberals	Cela n'est jamais agréable, ni bon pour les chiffres du chômage, mais il semblerait que nous devions nous résoudre à nous séparer de 100 000 fonctionnaires. Nous devrions ainsi pouvoir réaliser des économies non négligeables dans les dépenses publiques.	1		12	6	-6	7	-4	0	4800	-1	-3	3	-4	3	0	4000	-1	-1
179	Privatisation de l'Éducation Nationale	Liberals	Depuis un siècle, l'Éducation Nationale forme la jeunesse de notre patrie ; néanmoins, son coût n'est aujourd'hui plus supportable. En transférant ses compétances aux écoles privées, nous réaliserions des économies indispensables.	2		13	8	-6	11	-8	0	6400	-1	-3	3	-4	3	0	4000	-1	-1
180	Privatisation de l'armée	Liberals	Nous devons nous y résoudre : l'armée française n'est plus que l'ombre d'elle même, car dépassée. En transférant ses compétences à des mercenaires, nous réduirons certainement notre force, mais nous pourrions conserver une petite force d'intervention en cas de besoins.	3		14	9	-9	15	-12	0	20000	-1	-3	6	-4	3	0	6400	-1	-1
181	Privatisation du gouvernement	Liberals	Le Gouvernement est aujourd'hui une source de dépenses importantes, en le privatisant, nous confronterions celui-ci à l'économie de marché et pourrions pourquoi pas espérer, que ses actionnaires touchent enfin des dividendes.	4		-1	17	-10	18	-15	0	40000	-1	-5	6	-4	3	0	8000	-1	-1
182	Diminution de la durée du travail à 30h	Socialist	Comme tout à chacun le sait : l'emploi disparaît. Si nous voulons que tout à chacun puisse y accéder, il nous faut diminuer de la durée du travail à 30h. Peu populaire auprès des patrons, cette mesure sera plutôt bien acceuillie par tous les autres.	0		16	-3	3	-4	6	0	0	-1	2	3	3	0	0	4000	-1	-1
183	Interdiction des licenciements pour les entreprises en bonne santé	Socialist	Il est innaceptable qu'une entreprise qui réalise des bénéfices puisse renvoyer ses salariés. Peu pénalisante pour l'économie, cette mesure sera plutôt bien acceuillie.	1		17	-3	3	-4	3	0	0	-1	2	-4	3	0	0	4000	-1	-1
184	Week-end de trois jours	Socialist	Malgré tous nos efforts, le chômage reste important : nous devons limiter d'avantage la semaine de travail en lui supprimant un jour, ce fameux lundi que personne n'a jamais aimé.	2		18	-3	7	-12	6	2	0	-1	2	-4	3	0	0	4000	-1	-1
185	Interdiction du travail nocturne	Socialist	Encore un fléau à éliminer !	3		19	-3	7	-12	3	0	0	-1	2	-4	3	0	0	4000	-1	-1
186	Interdiction des licenciements	Socialist	Pourquoi un employeur pourrait-il avoir la légitimité de renvoyer un de ses employés, alors que ceux-ci ne peuvent renvoyer leur patron ? C'est de se constat qu'est né ce projet de loi, qui devrait satisfaire le peuple à défaut d'augementer les embauches	4		-1	-9	11	-15	-8	0	0	-1	2	-7	3	0	0	4000	-1	-1
187	Reconnaissance de la pénibilité du travail (retraite anticipée pour les métiers à risque)	Socialist	Mise en place d'une retraite anticipée pour les métiers à risque (5 ans plus tôt que pour les autres). Une mesure humaine selon les humains, honteuse selon les employeurs.	0		-1	-6	3	-4	3	0	0	-1	2	0	3	3	0	4000	-1	-1
188	Retraite à 60 ans	Socialist	Nos jeunes ne trouvent plus d'emploi, libérons ceux de nos méritants ainés afin d'offrir à tous un moyen de subsister. Une mesure humaine selon les socialistes, honteuse selon les employeurs.	0		22	-6	7	-8	5	0	0	-1	2	-4	3	3	0	4000	-1	-1
189	Interdiction du travail des seniors	Socialist	Parce qu'il y a un âge où le travail devient trop dur, libérons nos ainés de cette charge. Une mesure humaine selon les communistes, honteuse selon les employeurs.	1		23	-9	11	-12	6	0	0	-1	2	0	3	3	3	4000	-1	-1
190	Interdiction des travaux pénibles	Socialist	À l'heure de la robotisation, pourquoi devrait-on encore laisser de telles tâches au hommes ?	2		24	-9	12	-15	9	0	0	-1	2	0	3	3	0	3200	-1	-1
191	Interdiction du travail	Socialist	Les robots n'ont qu'à le faire à notre place ...	3		-1	-10	18	-19	-15	0	0	-1	4	-4	3	3	0	8000	-1	-1
192	Revalorisation des allocations chômage	Socialist	À une heure où la pauvreté ne cesse de grandir dans notre pays, revaloriser les allocations chômages est une nécessité. Globalement négative pour les chiffres du chômage, cette mesure devrait au moins avoir un effet positif pour ceux à qui elle est destinée.	0		26	-6	7	-4	-8	0	0	-1	4	-4	3	3	0	4000	-1	-1
193	Revenu universel	Socialist	Utopie socialiste, le revenu universel est l'évolution logique des allocations chômages, permettant aux étudiants et aux originaux de s'en aller à leur besogne le ventre plein sans la distraction du confort.	1		27	-9	11	-8	-12	0	0	-1	0	-5	3	3	0	6400	-1	-1
194	Revenu universel revalorisé	Socialist	Dans un monde où l'emploi disparaît, laissons les emplois restant aux quelques fous assez motivés pour les occuper !	2		-1	-9	12	-8	-15	0	0	-1	2	-7	3	3	0	8000	-1	-1
195	Plan d'embauche de 100 000 fonctionnaires	Socialist	Les queues se multiplient dans les administrations, les classes sont en sureffectifs, ... Rien ne va plus ! Recrutons 100 000 fonctionnaires pour sauver la fonction publique ! Le privé n'aimera pas, mais tant pis pour lui !	0		29	-6	3	-4	3	0	0	-1	-3	-4	0	0	0	4000	-1	-1
196	Renationalisation des entreprises privatisées par les précédents gouvernements	Socialist	Les précédants gouvernements ont revendu de véritables fleurons nationnaux à des sociétés privées qui ont su les rendre rentables, investissont et rachetons-les !	1		30	-6	3	-8	5	0	0	-1	-5	-3	0	0	0	4000	-1	-1
197	Plan d'embauche de 1 000 000 fonctionnaires	Socialist	Un pays bien géré passe par une administration de premier plan : avec un 1 000 000 fonctionnaires supplémentaires, nous devrions enfin statistiquement pouvoir en trouver quelques uns qui travaillent !	2		-1	-9	7	-12	6	0	0	-1	-6	-5	0	0	0	4000	-1	-1
198	Nationalisation d'entreprises clés	Socialist	Certains secteurs clés de notre économies ne saurait être laissés sur le libre marché, en les nationalisant, nous nous assurerons qu'ils restent sous pavillon français.	2		30	-10	11	-15	7	0	0	-1	-11	-5	3	3	0	8000	-1	-1
199	Nationalisation du secteur privé	Socialist	Le marché libre est une abération qui doit être bouttée hors du sol français ... Les entrepreneurs n'aimerons pas, mais ils n'ont plus d'importance à nos yeux.	3		31	-18	11	-19	9	0	0	-1	-11	-5	6	3	0	16000	-1	-1
200	Droit de conscience sur le travail dominical et les jours de fêtes	Religious	Dans un pays laïque comme le notre, nous ne saurions imposer les fêtes catholiques. Néanmoins, il semble normal de permettre à ceux qui le souhaite de pouvoir exercer un droit de conscience sur le travail dominical et les jours de fêtes.	0		34	0	3	-4	1	9	4000	-1	4	-4	0	2	-4	1000	-1	-1
201	Interdiction du travail les jours de fêtes	Religious	Certains employeurs exercant des pressions sur les fidèles qui refusent de travailler les jours de fêtes, l'interdiction générale du travail les jours de fêtes devrait permettre d'y remédier	1		35	0	3	-4	-4	9	4000	-1	4	-3	0	2	-4	1000	-1	-1
202	Interdiction du travail dominical (sauf pour les métiers de première nécessité)	Religious	Certains employeurs exercant des pressions sur les fidèles qui refusent de travailler le dimanche, l'interdiction générale du travail dominical devrait suffire, exception faîte des métiers de première nécessité tels que ceux de la Santé.	1		36	0	7	-8	-4	15	4000	-1	4	0	0	2	-6	1000	-1	-1
203	Interdiction absolue du travail dominical	Religious	Le Seigneur se reposa le septième jour, comment pourrions-nous le demander à notre prochain. Nous n'aurons peut-être pas d'électricité ce jour là, mais le Seigneur sera avec nous !	2		37	0	7	-12	-4	15	4000	-1	4	0	0	2	-6	1000	-1	-1
204	Obligation de présence à la messe le dimanche	Religious	Certains infidèles osent ne pas venir à la messe le dimanche malgré l'interdiction du travail ce jour là, créons des milices citoyennes pour les y conduire !	2		-1	0	-12	0	-4	12	8000	-1	2	6	0	2	-6	1000	-1	-1
205	Adaptation des menus des restaurants d'entreprises lors du carême	Religious	Et puis admettons-le, c'est aussi un bon moyen de maigrir avant l'été ...	0		39	0	3	-4	0	9	1000	-1	-3	0	0	0	-4	2400	-1	-1
206	Prières obligatoires sur le lieu de travail	Religious	Bonne pour le morales des fidèles, celles-ci seront assez impopulaire pour les autres.	1		40	0	-8	-4	0	9	3200	-1	-3	3	0	-4	-6	2400	-1	-1
207	Présence d'un prêtre du travail obligatoire	Religious	Utile si jamais les employés ont besoins de se confesser sur leurs mauvais chiffres hebdomadaires, il pourra également venir pratiquer l'onction extrême si nécessaire.	2		41	0	3	-8	3	9	4000	-1	-3	3	3	-4	-6	2400	-1	-1
208	Baptême obligatoire pour embauche	Religious	Un bon chrétien saura être fidèle à son seigneur.	2		42	0	-8	-12	0	15	8000	-1	-3	13	0	-4	-9	2400	-1	-1
209	Bénédiction quotidienne de la production par le prêtre du travail	Religious	Garantie sans mauvais esprit.	2		-1	0	-8	-15	3	12	8000	-1	-3	10	0	0	-9	2400	-1	-1
210	Statut d'agent de l'Etat non-rémunéré pour les prêtres	Religious	Comme au bon vieux temps. Les croyant apprécieront, là où les impies resteront dans leur ignorance.	0		44	0	3	0	0	9	4000	-1	-5	-4	-4	0	-6	0	-1	-1
211	Statut de fonctionnaire rémunéré pour les prêtres	Religious	Un bon moyen de lutter contre le chômage tout en satisfaisant les fidèles, mais un scandale pour les autres	1		45	-6	3	0	3	9	4000	-1	-3	-4	-4	0	-6	0	-1	-1
212	Revalorisation salariale de la prêtrise (création d'un barème de rémunération)	Religious	Car notre prêtre ne doivent pas avoir à se soucier des basses nécessitudes de la vie, rémunérons les confortablement.	2		46	-6	3	0	1	9	8000	-1	-3	-4	-4	0	-6	0	-1	-1
213	Plan d'embauche de 100 000 prêtres	Religious	Un prêtre pour 500 habitants, c'est bien le minimum que nous puissions faire.	2		47	-6	3	0	5	15	20000	-1	-3	-4	-4	0	-9	0	-1	-1
214	Obligation pour les aînés de rentrer dans les ordres	Religious	Face au manque de vocation, provoquons le destin ... Ce que nous leur prenons, le Seigneur le leur rendra.	3			0	3	0	6	12	20000	-1	-3	-4	-4	0	-9	0	-1	-1
215	Campagne de recrutement pour l'Armée de Terre	Militarist	Grande campagne publicitaire, des milliers de postes à pourvoir, ... Cela devrait accroitre la force de frappe gouvernementale tout en abaissant le chômage. Le peuple n'aime pas la guerre, nous ne comprenons pas bien pourquoi ...	0		49	2	-4	0	0	0	2400	-1	-3	0	0	-4	-4	0	-1	-1
216	Renforcement des budgets militaires	Militarist	Il devrait relancer notre économie, créer des embauches, ... Comment le peuple ne peut-il pas voir que la guerre est une chance pour lui ?	1		51	2	-4	7	3	0	3200	-1	-5	3	-4	-4	-6	0	-1	-1
